employee_id,project_id,engagement_score,teamwork_score,punctuality_score,overall_performance_score
1,1,96,42,89,23
1,2,67,37,52,36
1,3,60,92,30,10
2,1,90,21,10,19
2,2,92,30,62,96
2,3,47,11,75,95
2,4,79,39,51,78
2,5,10,2,88,48
3,1,47,14,14,68
3,2,32,55,63,44
3,3,41,16,30,77
3,4,95,84,17,12
3,5,36,73,21,24
4,1,58,58,29,75
4,2,46,85,2,13
4,3,51,78,63,35
4,4,62,66,82,79
5,1,31,82,7,56
5,2,6,42,48,36
5,3,97,48,23,79
5,4,50,97,92,55
5,5,34,61,11,82
6,1,57,100,14,12
6,2,24,86,44,77
6,3,53,7,36,73
7,1,58,57,74,57
8,1,30,67,33,6
9,1,62,49,34,79
9,2,25,65,62,41
9,3,40,63,78,60
9,4,10,98,69,36
10,1,54,70,11,62
11,1,65,21,92,20
12,1,98,24,61,65
13,1,10,45,92,41
13,2,62,87,92,83
13,3,85,50,21,41
14,1,99,60,10,36
14,2,98,78,92,96
15,1,17,40,70,31
15,2,29,15,11,54
16,1,20,37,66,58
16,2,42,20,41,60
16,3,99,97,79,80
17,1,49,78,9,41
17,2,10,100,4,14
17,3,24,78,98,49
17,4,89,26,10,73
17,5,54,16,4,78
18,1,43,97,35,31
18,2,79,73,85,19
19,1,23,52,55,78
19,2,71,21,48,52
19,3,64,68,72,10
19,4,17,30,83,73
19,5,37,28,37,82
20,1,87,27,92,55
20,2,72,25,58,78
20,3,2,89,74,89
20,4,79,55,5,2
20,5,35,77,22,48
21,1,96,34,22,88
21,2,40,85,42,50
21,3,95,32,72,69
21,4,35,66,91,43
21,5,31,58,61,22
22,1,82,5,6,33
23,1,46,14,38,96
23,2,92,66,90,48
23,3,6,99,62,85
24,1,78,49,7,99
25,1,29,3,63,24
26,1,23,94,78,26
26,2,76,83,98,95
26,3,20,63,59,69
26,4,71,97,64,21
26,5,47,40,66,12
27,1,3,41,25,64
27,2,31,15,15,96
27,3,88,82,20,45
27,4,37,90,51,26
27,5,8,66,25,14
28,1,67,35,28,35
28,2,10,1,24,30
29,1,45,8,12,61
29,2,95,62,80,25
29,3,27,14,34,69
29,4,32,25,74,12
30,1,94,64,27,73
30,2,53,69,9,19
30,3,83,31,78,49
30,4,48,59,2,92
31,1,65,50,94,61
31,2,37,77,43,57
31,3,26,60,91,7
31,4,11,62,43,56
31,5,77,2,76,7
32,1,82,76,28,59
32,2,51,99,89,96
32,3,45,30,20,92
32,4,91,36,88,91
32,5,66,65,5,14
33,1,50,50,51,25
34,1,3,5,100,84
34,2,18,28,96,94
34,3,75,16,4,69
35,1,13,99,16,81
35,2,98,41,28,32
35,3,31,17,32,11
36,1,8,94,64,21
36,2,41,87,27,19
36,3,33,15,30,35
36,4,44,64,78,35
36,5,58,12,64,22
37,1,12,5,43,2
38,1,63,84,78,31
38,2,72,67,46,63
38,3,47,88,6,12
38,4,40,16,59,72
38,5,98,57,77,8
39,1,8,78,97,10
40,1,28,59,73,37
40,2,52,13,14,2
40,3,100,66,66,100
40,4,74,72,70,3
40,5,94,32,13,51
41,1,37,57,1,12
41,2,25,66,93,94
41,3,27,73,50,18
42,1,32,88,12,82
43,1,52,34,93,23
44,1,8,76,26,96
44,2,62,25,8,5
44,3,55,59,84,80
44,4,92,45,65,97
45,1,58,64,14,35
45,2,96,76,8,45
46,1,83,37,78,75
46,2,75,26,28,70
46,3,83,39,88,86
46,4,89,43,40,53
46,5,6,23,69,68
47,1,19,81,94,31
48,1,77,98,9,90
48,2,98,91,97,56
49,1,39,97,9,75
49,2,76,82,81,25
49,3,99,9,72,70
50,1,66,16,90,70
51,1,99,48,46,97
51,2,30,23,38,14
52,1,16,77,56,74
52,2,95,23,28,85
52,3,74,63,5,44
53,1,87,93,33,4
53,2,87,44,95,99
53,3,81,91,49,39
54,1,10,89,84,25
54,2,100,78,54,69
54,3,92,56,7,13
54,4,89,74,46,91
55,1,31,43,47,64
56,1,36,71,38,65
56,2,60,86,56,75
57,1,54,35,14,72
57,2,33,59,49,15
57,3,3,62,21,59
58,1,7,70,19,100
58,2,18,71,1,49
58,3,68,21,72,48
59,1,87,62,67,33
59,2,84,57,73,54
59,3,45,8,36,10
59,4,71,47,9,65
59,5,70,95,17,36
60,1,100,61,71,5
61,1,22,43,7,75
61,2,98,7,14,60
61,3,68,80,76,12
61,4,37,94,85,36
62,1,82,49,99,16
62,2,65,30,17,93
62,3,55,80,11,92
63,1,46,97,20,4
63,2,74,3,56,89
64,1,18,95,52,7
64,2,64,84,60,19
64,3,19,36,94,25
64,4,43,70,30,98
65,1,44,52,64,26
65,2,44,96,38,51
65,3,45,72,67,37
66,1,35,87,93,13
66,2,98,24,61,39
67,1,58,19,2,3
67,2,44,62,62,77
67,3,78,17,58,96
68,1,6,65,10,59
68,2,97,91,2,36
69,1,8,72,46,42
69,2,47,26,13,65
69,3,72,79,92,25
70,1,76,77,22,2
71,1,33,37,63,16
71,2,91,59,16,66
71,3,84,20,98,61
71,4,25,55,29,31
72,1,81,1,38,84
72,2,40,14,90,68
72,3,26,62,24,9
72,4,91,20,12,81
73,1,93,26,100,52
73,2,77,95,19,50
73,3,26,81,50,65
74,1,45,63,100,84
74,2,49,73,15,39
74,3,57,80,69,36
74,4,77,42,47,21
74,5,32,52,85,52
75,1,54,77,44,61
75,2,8,89,84,100
76,1,65,2,62,18
77,1,61,40,61,14
77,2,1,99,81,10
77,3,26,89,28,2
77,4,80,57,52,71
77,5,84,95,31,97
78,1,47,95,12,46
79,1,44,8,41,73
79,2,9,17,33,43
80,1,34,54,93,42
80,2,59,5,77,94
80,3,48,54,82,24
80,4,92,61,77,74
81,1,20,51,25,41
81,2,58,38,83,6
82,1,22,43,56,9
82,2,4,26,8,70
82,3,81,13,99,84
83,1,98,89,66,80
84,1,59,15,50,71
84,2,52,100,32,69
85,1,12,66,4,84
85,2,51,99,89,53
85,3,71,69,33,64
85,4,31,85,62,63
86,1,2,28,11,70
87,1,11,94,82,51
87,2,34,96,85,74
87,3,95,70,10,89
88,1,98,60,86,52
88,2,3,23,93,46
88,3,1,47,74,98
89,1,77,36,45,20
89,2,39,13,64,92
89,3,60,94,49,86
90,1,75,74,23,30
90,2,15,64,97,4
90,3,79,71,56,31
90,4,57,24,17,60
90,5,52,59,62,78
91,1,76,2,28,1
91,2,69,4,21,67
91,3,8,62,24,20
91,4,31,60,38,21
92,1,12,27,6,38
93,1,36,18,99,54
93,2,43,71,77,17
93,3,7,23,65,75
93,4,66,46,99,35
94,1,46,1,81,18
94,2,69,72,13,27
95,1,28,48,85,67
95,2,18,89,77,71
95,3,48,74,44,53
95,4,49,97,75,87
96,1,86,55,79,91
96,2,82,15,62,75
97,1,45,59,34,36
97,2,15,70,24,83
97,3,48,50,19,98
98,1,88,38,78,25
98,2,55,17,76,67
98,3,99,98,90,18
98,4,61,72,46,43
98,5,67,77,79,90
99,1,78,34,91,35
99,2,21,22,23,44
100,1,76,44,68,40
100,2,57,7,80,75
100,3,5,23,75,8
100,4,9,18,2,36
100,5,25,9,42,53
